---------------------------------------------------------------------------------------
Configuration   | Term   |    J |                 Level    | Leading percentages
----------------|--------|------|--------------------------|---------------------------
                |        |      |                          |   
1s              | 2S     |  1/2 |      0.000000000000      | 100       
                |        |      |                          |   
2p              | 2P*    |  1/2 |     10.2015805055        | 100       
                |        |  3/2 |     10.201625881         | 100       
                |        |      |                          |   
2s              | 2S     |  1/2 |     10.201584886324      | 100       
                |        |      |                          |   
2               |        |      |    [10.201604]           |           
                |        |      |                          |   
3p              | 2P*    |  1/2 |     12.090781806         | 100       
                |        |  3/2 |     12.090795250         | 100       
                |        |      |                          |   
3s              | 2S     |  1/2 |     12.090783110         | 100       
                |        |      |                          |   
3               |        |      |    [12.090794]           |           
                |        |      |                          |   
3d              | 2D     |  3/2 |     12.09079522          | 100       
                |        |  5/2 |     12.09079970          | 100       
                |        |      |                          |   
4p              | 2P*    |  1/2 |     12.7520004137        | 100       
                |        |  3/2 |     12.7520060868        | 100       
                |        |      |                          |   
4s              | 2S     |  1/2 |     12.75200096611       | 100       
                |        |      |                          |   
4d              | 2D     |  3/2 |    [12.7520060777]       | 100       
                |        |  5/2 |     12.75200796839       | 100       
                |        |      |                          |   
4               |        |      |    [12.7520068]          |           
                |        |      |                          |   
4f              | 2F*    |  5/2 |    (12.752007965017)     | 100       
                |        |  7/2 |    (12.752008910341)     | 100       
                |        |      |                          |   
5p              | 2P*    |  1/2 |    [13.058049370]        | 100       
                |        |  3/2 |    [13.058052274]        | 100       
                |        |      |                          |   
5s              | 2S     |  1/2 |    [13.058049653]        | 100       
                |        |      |                          |   
5d              | 2D     |  3/2 |    [13.058052299]        | 100       
                |        |  5/2 |    [13.058053268]        | 100       
                |        |      |                          |   
5               |        |      |    [13.0580531]          |           
                |        |      |                          |   
5f              | 2F*    |  5/2 |    (13.058053249705)     | 100       
                |        |  7/2 |    (13.058053733710)     | 100       
                |        |      |                          |   
5g              | 2G     |  7/2 |    (13.058053732804)     | 100       
                |        |  9/2 |    (13.058054023209)     | 100       
                |        |      |                          |   
6p              | 2P*    |  1/2 |    [13.224297869]        | 100       
                |        |  3/2 |    [13.224299550]        | 100       
                |        |      |                          |   
6s              | 2S     |  1/2 |    [13.224298032]        | 100       
                |        |      |                          |   
6d              | 2D     |  3/2 |    [13.224299562]        | 100       
                |        |  5/2 |    [13.224300123]        | 100       
                |        |      |                          |   
6f              | 2F*    |  5/2 |    (13.224300115174)     | 100       
                |        |  7/2 |    (13.224300395271)     | 100       
                |        |      |                          |   
6               |        |      |    [13.22430021]         |           
                |        |      |                          |   
6g              | 2G     |  7/2 |    (13.224300394744)     | 100       
                |        |  9/2 |    (13.224300562802)     | 100       
                |        |      |                          |   
6h              | 2H*    |  9/2 |    (13.224300562475)     | 100       
                |        | 11/2 |    (13.224300674516)     | 100       
                |        |      |                          |   
7p              | 2P*    |  1/2 |    [13.324540322]        | 100       
                |        |  3/2 |    [13.324541379]        | 100       
                |        |      |                          |   
7s              | 2S     |  1/2 |    [13.324540425]        | 100       
                |        |      |                          |   
7d              | 2D     |  3/2 |    [13.324541382]        | 100       
                |        |  5/2 |    [13.324541735]        | 100       
                |        |      |                          |   
7               |        |      |    [13.32454188]         |           
                |        |      |                          |   
8p              | 2P*    |  1/2 |    [13.38960145015]      | 100       
                |        |  3/2 |    [13.38960215929]      | 100       
                |        |      |                          |   
8s              | 2S     |  1/2 |     13.389601519456      | 100       
                |        |      |                          |   
8d              | 2D     |  3/2 |     13.389602158235      | 100       
                |        |  5/2 |     13.389602394575      | 100       
                |        |      |                          |   
8               |        |      |    [13.38960253]         |           
                |        |      |                          |   
9p              | 2P*    |  1/2 |    [13.434207106]        | 100       
                |        |  3/2 |    [13.434207604]        | 100       
                |        |      |                          |   
9s              | 2S     |  1/2 |    [13.434207154]        | 100       
                |        |      |                          |   
9d              | 2D     |  3/2 |    [13.434207599]        | 100       
                |        |  5/2 |    [13.434207764]        | 100       
                |        |      |                          |   
9               |        |      |    [13.43420789]         |           
                |        |      |                          |   
10p             | 2P*    |  1/2 |    [13.466113239]        | 100       
                |        |  3/2 |    [13.466113603]        | 100       
                |        |      |                          |   
10s             | 2S     |  1/2 |    [13.466113274]        | 100       
                |        |      |                          |   
10d             | 2D     |  3/2 |    [13.46611359914]      | 100       
                |        |  5/2 |     13.46611372015       | 100       
                |        |      |                          |   
10              |        |      |    [13.46611382]         |           
                |        |      |                          |   
11p             | 2P*    |  1/2 |    [13.489720154]        | 100       
                |        |  3/2 |    [13.489720427]        | 100       
                |        |      |                          |   
11s             | 2S     |  1/2 |    [13.489720181]        | 100       
                |        |      |                          |   
11d             | 2D     |  3/2 |    [13.489720426]        | 100       
                |        |  5/2 |    [13.489720516]        | 100       
                |        |      |                          |   
11              |        |      |    [13.48972060]         |           
                |        |      |                          |   
12p             | 2P*    |  1/2 |    [13.507675144]        | 100       
                |        |  3/2 |    [13.507675355]        | 100       
                |        |      |                          |   
12s             | 2S     |  1/2 |    [13.507675165]        | 100       
                |        |      |                          |   
12d             | 2D     |  3/2 |     13.507675349         | 100       
                |        |  5/2 |     13.507675419080      | 100       
                |        |      |                          |   
12              |        |      |    [13.50767549]         |           
----------------|--------|------|--------------------------|---------------------------
                |        |      |                          |   
                | Limit  |  --- |    [13.602133768]        |           
---------------------------------------------------------------------------------------
