----------------------------------------------------------------------------------------
Configuration   | Term   |    J |                  Level    | Leading percentages
----------------|--------|------|---------------------------|---------------------------
                |        |      |                           |   
1s              | 2S     |  1/2 |      0.0000000000000      | 100       
                |        |      |                           |   
2p              | 2P*    |  1/2 |     10.1988055020         | 100       
                |        |  3/2 |     10.1988508663         | 100       
                |        |      |                           |   
2s              | 2S     |  1/2 |     10.1988098769057      | 100       
                |        |      |                           |   
2               |        |      |     10.198835             |           
                |        |      |                           |   
3p              | 2P*    |  1/2 |     12.087492891          | 100       
                |        |  3/2 |     12.087506332          | 100       
                |        |      |                           |   
3s              | 2S     |  1/2 |     12.087494193          | 100       
                |        |      |                           |   
3               |        |      |     12.087504             |           
                |        |      |                           |   
3d              | 2D     |  3/2 |     12.087506310          | 100       
                |        |  5/2 |     12.087510790          | 100       
                |        |      |                           |   
4p              | 2P*    |  1/2 |     12.74853163601        | 100       
                |        |  3/2 |     12.74853730643        | 100       
                |        |      |                           |   
4s              | 2S     |  1/2 |     12.74853218633        | 100       
                |        |      |                           |   
4d              | 2D     |  3/2 |     12.7485372981         | 100       
                |        |  5/2 |     12.74853918722        | 100       
                |        |      |                           |   
4               |        |      |     12.7485385            |           
                |        |      |                           |   
4f              | 2F*    |  5/2 |     12.748539188          | 100       
                |        |  7/2 |     12.7485401300         | 100       
                |        |      |                           |   
5p              | 2P*    |  1/2 |     13.054497353          | 100       
                |        |  3/2 |     13.054500256          | 100       
                |        |      |                           |   
5s              | 2S     |  1/2 |    [13.054497634]         | 100       
                |        |      |                           |   
5d              | 2D     |  3/2 |     13.0545002443         | 100       
                |        |  5/2 |    [13.0545012118]        | 100       
                |        |      |                           |   
5               |        |      |     13.0545009            |           
                |        |      |                           |   
5f              | 2F*    |  5/2 |    (13.054501216584)      | 100       
                |        |  7/2 |     13.054501696          | 100       
                |        |      |                           |   
5g              | 2G     |  7/2 |    (13.054501699551)      | 100       
                |        |  9/2 |    (13.054501989881)      | 100       
                |        |      |                           |   
6p              | 2P*    |  1/2 |    [13.22070062167]       | 100       
                |        |  3/2 |    [13.22070230183]       | 100       
                |        |      |                           |   
6s              | 2S     |  1/2 |     13.22070078500        | 100       
                |        |      |                           |   
6d              | 2D     |  3/2 |    [13.22070229910]       | 100       
                |        |  5/2 |     13.22070285902        | 100       
                |        |      |                           |   
6f              | 2F*    |  5/2 |    (13.220702858765)      | 100       
                |        |  7/2 |    (13.220703138787)      | 100       
                |        |      |                           |   
6               |        |      |     13.22070305           |           
                |        |      |                           |   
6g              | 2G     |  7/2 |    (13.220703138259)      | 100       
                |        |  9/2 |    (13.220703306273)      | 100       
                |        |      |                           |   
6h              | 2H*    |  9/2 |    (13.220703305942)      | 100       
                |        | 11/2 |    (13.220703417956)      | 100       
                |        |      |                           |   
7p              | 2P*    |  1/2 |    [13.320915800]         | 100       
                |        |  3/2 |    [13.320916858]         | 100       
                |        |      |                           |   
7s              | 2S     |  1/2 |    [13.320915903]         | 100       
                |        |      |                           |   
7d              | 2D     |  3/2 |    [13.3209168566]        | 100       
                |        |  5/2 |    [13.3209172093]        | 100       
                |        |      |                           |   
7               |        |      |     13.32091733           |           
                |        |      |                           |   
