---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.2323660        |         |  1.2258e+02| AAA  |    0.0000000000000     -    [13.58993480]         |     1s - 40     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2353295        |         |  1.3913e+02| AAA  |    0.0000000000000     -    [13.58949337]         |     1s - 39     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2385303        |         |  1.5843e+02| AAA  |    0.0000000000000     -    [13.58901663]         |     1s - 38     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2419943        |         |  1.8103e+02| AAA  |    0.0000000000000     -    [13.58850072]         |     1s - 37     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2457513        |         |  2.0762e+02| AAA  |    0.0000000000000     -    [13.58794122]         |     1s - 36     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.2498352        |         |  2.3903e+02| AAA  |    0.0000000000000     -    [13.58733309]         |     1s - 35     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2542852        |         |  2.7631e+02| AAA  |    0.0000000000000     -    [13.58667051]         |     1s - 34     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2591463        |         |  3.2081e+02| AAA  |    0.0000000000000     -    [13.58594679]         |     1s - 33     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2644709        |         |  3.7418e+02| AAA  |    0.0000000000000     -    [13.58515416]         |     1s - 32     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2703197        |         |  4.3857e+02| AAA  |    0.0000000000000     -    [13.58428359]         |     1s - 31     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.2767639        |         |  5.1673e+02| AAA  |    0.0000000000000     -    [13.58332452]         |     1s - 30     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2838873        |         |  6.1221e+02| AAA  |    0.0000000000000     -    [13.58226454]         |     1s - 29     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.2917887        |         |  7.2967e+02| AAA  |    0.0000000000000     -    [13.58108897]         |     1s - 28     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3005859        |         |  8.7524e+02| AAA  |    0.0000000000000     -    [13.57978038]         |     1s - 27     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3104195        |         |  1.0571e+03| AAA  |    0.0000000000000     -    [13.57831792]         |     1s - 26     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.3214592        |         |  1.2862e+03| AAA  |    0.0000000000000     -    [13.57667646]         |     1s - 25     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3339105        |         |  1.5776e+03| AAA  |    0.0000000000000     -    [13.57482559]         |     1s - 24     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3480251        |         |  1.9519e+03| AAA  |    0.0000000000000     -    [13.57272808]         |     1s - 23     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3641133        |         |  2.4380e+03| AAA  |    0.0000000000000     -    [13.57033808]         |     1s - 22     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.3825609        |         |  3.0769e+03| AAA  |    0.0000000000000     -    [13.56759860]         |     1s - 21     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.4038537        |         |  3.9276e+03| AAA  |    0.0000000000000     -    [13.56443800]         |     1s - 20     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.4286086        |         |  5.0767e+03| AAA  |    0.0000000000000     -    [13.56076532]         |     1s - 19     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.4576201        |         |  6.6540e+03| AAA  |    0.0000000000000     -    [13.55646368]         |     1s - 18     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.4919242        |         |  8.8574e+03| AAA  |    0.0000000000000     -    [13.55138080]         |     1s - 17     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.5328932        |         |  1.1997e+04| AAA  |    0.0000000000000     -    [13.54531538]         |     1s - 16     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      91.5823751        |         |  1.6572e+04| AAA  |    0.0000000000000     -    [13.53799686]         |     1s - 15     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
                        |      91.6429076        |         |  2.3409e+04| AAA  |    0.0000000000000     -    [13.52905466]         |     1s - 14     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |             |
