------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      91.78795558      |       |            |      |    0.000000000000      -    [13.507675355]       |     1s - 12p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |      91.7879561       |       |  5.0672e+04| AA   |    0.000000000000      -    [13.50767549]        |     1s - 12     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
      91.78795688      |      91.78795688      |       |            |      |    0.000000000000      -    [13.507675165]       |     1s - 12s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      91.78795702      |       |            |      |    0.000000000000      -    [13.507675144]       |     1s - 12p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
      91.91012549      |      91.91012549      |       |            |      |    0.000000000000      -    [13.489720516]       |     1s - 11d    |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      91.91012609      |       |            |      |    0.000000000000      -    [13.489720427]       |     1s - 11p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |      91.9101267       |       |  7.8361e+04| AA   |    0.000000000000      -    [13.48972060]        |     1s - 11     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
      91.91012778      |      91.91012778      |       |            |      |    0.000000000000      -    [13.489720181]       |     1s - 11s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      91.91012795      |       |            |      |    0.000000000000      -    [13.489720154]       |     1s - 11p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |      92.07124953      |       |            |      |    0.000000000000      -    [13.466113603]       |     1s - 10p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      92.0712503       |       |  1.2635e+05| AA   |    0.000000000000      -    [13.46611382]        |     1s - 10     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
      92.07125176      |      92.07125176      |       |            |      |    0.000000000000      -    [13.466113274]       |     1s - 10s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      92.07125201      |       |            |      |    0.000000000000      -    [13.466113239]       |     1s - 10p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
      92.28991596      |      92.28991596      |       |            |      |    0.000000000000      -    [13.434207764]       |     1s - 9d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |                     |
                       |      92.28991705      |       |            |      |    0.000000000000      -    [13.434207604]       |     1s - 9p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      92.2899182       |       |  2.1431e+05| AA   |    0.000000000000      -    [13.43420789]        |     1s - 9      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
      92.28992015      |      92.28992015      |       |            |      |    0.000000000000      -    [13.434207154]       |     1s - 9s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      92.28992049      |       |            |      |    0.000000000000      -    [13.434207106]       |     1s - 9p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |      92.5973670298    |       |            |      |    0.000000000000      -    [13.38960215929]     |     1s - 8p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |      92.5973687       |       |  3.8704e+05| AA   |    0.000000000000      -    [13.38960253]        |     1s - 8      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      92.59737145466   |       |            |      |    0.000000000000      -     13.389601519456     |     1s - 8s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |                     |
                       |      92.5973719340    |       |            |      |    0.000000000000      -    [13.38960145015]     |     1s - 8p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
      93.04949695      |      93.04949695      |       |            |      |    0.000000000000      -    [13.324541735]       |     1s - 7d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |                     |
                       |      93.04949943      |       |            |      |    0.000000000000      -    [13.324541379]       |     1s - 7p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |      93.0495019       |       |  7.5705e+05| AA   |    0.000000000000      -    [13.32454188]        |     1s - 7      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
      93.04950610      |      93.04950610      |       |            |      |    0.000000000000      -    [13.324540425]       |     1s - 7s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      93.04950682      |       |            |      |    0.000000000000      -    [13.324540322]       |     1s - 7p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
